FROM_LOINC	FROM_UNIT	TO_LOINC	TO_UNIT	FACTOR
70240-7	pmol/L	49042-5	pg/mL	0.2884
14914-6	pmol/L	2991-8	pg/mL	0.2884
14915-3	umol/L	4049-3	ug/mL	0.1802
32554-8	nmol/L	2998-3	ug/dL	0.02654
20468-5	nmol/L	299-1	ug/dL	0.02654
31145-6	pmol/L	31144-9	ug/dL	0.00007769
14921-1	nmol/L	3026-2	ug/dL	12.87166946
14920-3	pmol/L	3024-7	ng/dL	0.07769
50927-3	umol/L	35670-9	mg/L	0.4675
22751-2	umol/L	4057-6	mg/L	0.4675
22752-0	umol/L	4059-2	mg/L	0.4675
22674-6	umol/L	3034-6	mg/dL	7.955
70218-3	mmol/L	3043-7	mg/dL	87.94
14927-8	mmol/L	2571-8	mg/dL	87.94
14930-2	nmol/L	3053-6	ng/dL	65.1
14928-6	pmol/L	3051-0	pg/mL	0.651
14929-4	nmol/L	3052-8	pg/mL	651
14935-1	mmol/(24.h)	3087-4	g/(24.h)	0.1681
14933-6	umol/L	3084-1	mg/dL	0.01681
14934-4	umol/L	3086-6	mg/dL	0.01681
34927-4	umol/L	3107-0	mg/dL	0.05927
34928-2	umol/L	20405-7	mg/dL	0.05927
34928-2	umol/L	19161-9	{Ehrlich'U}/dL	0.05927
14946-8	umol/L	4086-5	ug/mL	0.1442
31012-8	umol/L	20578-1	ug/mL	1.449
39796-8	umol/L	4090-7	ug/mL	1.449
39797-6	umol/L	4092-3	ug/mL	1.449
14947-6	umol/(24.h)	3122-9	mg/(24.h)	0.1982
15097-9	umol/L	9624-8	mg/dL	0.01982
14955-9	umol/L	5763-8	ug/mL	0.06538
